"
  touchnotes","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a/ALm5wu39CYpq2wWCnc0V-sgYwo5WMv6ofVeO7R6vdkBt=s32-rw-mo","amamaelnaby","Show review history","November 11, 2022","It's good and easy to use but missing some features,it would be good to look at some competitors,other apps I mean. You should add Cornell note template , and inserting a vedio clip by the camera to the note . The laser pointer feature is amazing 🤩🤩🤩",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9-GfgbnbIK_n3ZTKk1xBV0-D0tdqFA7LZ26MToKg=s32-rw","Homayoon Shajaan","","November 16, 2022","Very good with a lot of useful features, almost the same level as the windows version of onenote. If the cloud synchronization was with less hassle the rating would have been definitely ""5 stars"".",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-sqLbznKGJmhhE_OCgKJ4P7lq6whcjkhXfYIWVtw=s32-rw","Christopher Chao","","October 31, 2022","All of my settings, notes, templates and homework that I kept for several semesters disappeared after this update. This app ruined everything and clearly the customer service is not capable of speaking English. DO NOT USE if you care at all about your notes!!!!!","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Uu0cpMRfba2C3E7E2NqL7_D-Ps7PoCZImFfLt=s32-rw","Andy Lee","","November 19, 2022","yes, english translation is a bit weird on parts, but god damn this is the best infinity note there can be, LOADS better than onenote, squid, canvas etc. SO good for non-linear writing which research shows hinders cognitive abilities.",""
"https://play-lh.googleusercontent.com/a/ALm5wu0Qre_Vqczu7asuuCq8itE0i1wzmt0qg0nlgow=s32-rw-mo","Candace R. Allison","Show review history","October 21, 2022","App is awesome and contains all features I've been looking for in a note taking app. Development team is very quick to respond to reported issues/bugs! I had a bug that broke my ability to use embedded links in PDFs after the latest update. I reported the bug a day or so ago and received an update today. 5 stars to the development team for the quick turnaround time :)",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9JFKNSW5KvHTVNG5J61aZsDsXkdBaATnR4TxhbdvQ=s32-rw","Sarah","","September 2, 2022","Have tried many different note taking apps such as squid, noteshelf, xodo, onenote, etc over several years but am settling on this one. It has the best versatility with stickers, color options and ui. I took off a star because it is lacking in cloud sync functions. It does not suppose Google drive or one drive. The Dropbox option is offered but never syncs. It would be good if you plan to use it exclusively on one device.","15 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3PwcWKcXOCyqRgLVRdiFOHtODHl1qogV6p0H_t=s32-rw-mo","Zhang Amy","","September 5, 2022","It's been not bad, thought with some bugs, it's tolerable. The latest update is horrible!! I lost all my notes and I cannot retrieve back. I tried to import notes from my local files, it shows ""cannot open file"" when it literally appeared on my app home screen... With the upgrade, I cannot import multiple PDFs when it could last time. AND now it only shows the individual PDF when import, so hard to find. It used to show the folders where we can select the PDF. LAST WORD: DON'T upgrade!!!!!","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0qd3KAg8GnNXGFppLWP3pF-OL_ygnNOFeKT90w=s32-rw-mo","fatality 34","Show review history","September 4, 2022","Been finding an intuitive app for android for the longest time. It has a bunch of features that help make studying a lot easier. Split pdf,customisable toolbars,backups and page customization. In my opinion, the one-time purchase for premium ($ 10) is really worth it. You won't be disappointed. High-school and college students will really appreciate this. Used this for awhile now and i still love it. Perfect for studying, though not much for graphic design.","19 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3t6t6bDFIZ5xUoCbrMIDosb8KnSgrmRkYzatBa=s32-rw-mo","Patrick Hennig","","October 30, 2022","great app. would love an option to scale the interface, and some things are a bit less convenient than i would like them to be, but overall, one of the best note taking apps on android.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9bqyxJ9vEIsxiTBOtbo66otAN92eyGTUDw_Df4=s32-rw","Isabella Walsh","","September 15, 2022","This was a 5 star note app in my opinion, but as of the last update a few things that made it great became paid for and while paying for an app isn't unheard of, it is a let down. If sticker function at least could come back. It wasn't necessarily like there were preloaded stickers, it was just stuff you could select and save which was super cool. If just that could be unpaid this would be the best note-taking app out there","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8J3YP8CkpIATRcUSEwvwbzIlmwjsGhc-KxGIX3=s32-rw","Lilit","Show review history","November 12, 2022","There are some good features but the interface needs improvement. The icons are too small. When select button is chosen the app crashes.",""
"https://play-lh.googleusercontent.com/a/ALm5wu0dnhbYfKh2n53vXpgEmjtJnorPcd0pNZzow68A=s32-rw-mo","Super Hero","Show review history","October 15, 2022","Now my app favourite! I like it!!!. Its infinite paper is incredible. Could improve it even more, the option Add Row Space on the tools of pencils would be great (now its hard find that option, many steps, I need a shortcut), more pencils, improve design, etc. Thanks for your app!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9AX1-SYe9DjhxXn9XITW4yH30HpUZHvThYq-CV=s32-rw","Darya Volkova","","September 13, 2022","I really like this app but today I have some problems. All pages are shown incorrectly and l can see only one page and can't stay to be seen the bottom of one page and the top of another. Please, l really need help",""
"https://play-lh.googleusercontent.com/a/ALm5wu06xXFvpkOe66K4tjbBmq7cyRT_ccbhRY-aTtNd=s32-rw-mo","TG Grant","Show review history","September 5, 2022","Please allow page sidebar to be fixed and take less width(in simple mode). right now you can't resize it below a certain width which is still too big in portrait. It could show bookmark button + 2 characters for example. Or maybe no bookmark button but the first 5-6 characters of the page's name. It would make it quicker go between pages when you need to constantly review material from different pages. It would avoid to have to tab on the sidebar button everytime. Thx!",""
"https://play-lh.googleusercontent.com/a/ALm5wu21Rie0jQWOwMTmG6qtmfwZrUz44wihXdO3rnx1=s32-rw-mo","Jie Ying Koh","Show review history","October 15, 2022","Not sure what happened but the recen update has resulted in me not being able to drag and drop my pictures into the notes. If they dont fix it, i will move to other note taking apps","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu83rchjqssziIf8786hTUVHzF-gvS4RorPUSpyQ6w=s32-rw","rion 3","","September 8, 2022","pros & cons: 1.it's allowed to write outside the pdf pages, but this part isn't exportable; 2.exported pdf size is much smaller than that of Flexcil; 3.no longer support drag & drop; 4.the annotation is not in the standard format of pdf; 5.poor English translations such as pdf catalog that should mean pdf outline; 6.Drive and One Drive aren't included in its cloud service; 7.it requires an account to purchase, which I dislike; 8.subpar handwriting strokes for stylish English calligraphy.","10 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9olCJjHpK3sNOzsyXE9JJuIwO31FS80bXryxQOjA=s32-rw","The Arkour Layer (FDNTrinity)","Show review history","November 1, 2022","This is hands down the best note taking app I have found. The amount of features is incredible. You can't buy premium if you do not use WeChat. And one of my notes had just been purged for no reason","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_YE2Vg_U9Q5JMAysGGGCBT43DgHNXMg2hZeCYfog=s32-rw","Antu Gonzalez Utreras","Show review history","July 21, 2022","Very Cool app, you got all the Features for free and also the Premium version of this app is also cool, but using this for free doesnt have any Features liimits, you can make 3D figures for free and customizable pen pressure, it has everything and even more than some paid apps! The paid version is recomendable if want a better flow between page to page and a few more things. If you're a student, you should use it! Although it would be cool to Sync The Notes With Google Drive and a RULER FEATURE","40 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0IH20EATACd6ds_qmMdLIwEk4GD7jpBLEDZJxYWg=s32-rw-mo","Aryan Tyagi","","October 26, 2022","One feature is missing Please add feature to type text using keyboard without adding text box every time like samsung notes, in samsung notes there is no need to add text box, just select the keyboard option and cursor starts blinking on page for typing.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8FKMYDGBGzm2PSRNWxXyT0M3sidniAKaxzZ7GeMw=s32-rw","Runay .y","Show review history","July 21, 2022","Love everything about it :) the only thing that is not working is opening pdfs through the app (need to import first) or importing jpg/word pages, always need to convert to pdf first - but that's not so important. The new style looks awesome and is optimized for phones aswell. I'd say it's the best app for school/work/private notes - it's easy to use and free!","24 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0WQFfEO1FvC8xehH_INwWXs3VYu8tvJR9foyI=s32-rw-mo","M J","Show review history","October 11, 2022","Good but, 1.Each n Every time all notes got deleted (only of pdf format) after an Update even in paid version. 2.Worst format of Note file even can't copied to another device. 3.Cloud Sync is not working 😔 4. Still far better than other Notetaking apps 5. Just one time investment then have it for life.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0Bfm6hp2o2WZC4ft-pO-lLP3rDzT1_4thctWqR=s32-rw-mo","Esmie Love","Show review history","September 8, 2022","Great App! PLEASE FIX THE ADD PHOTO BOX. It will not load my saved photos from my device files on my z fold 3 with permissions on. As of 8 SEP 2022 it is still not working.","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-cUHizgpEhlLe1wPkF2-OpSkyCxWQU1PU1WUSl=s32-rw","Ender Pirate","","November 9, 2022","Litterally the most perfect app iv ever used in a while, might be overexaggerating because I don't use a bunch of noting apps but this is just straight up professional imo. 100% recomened",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-BbDmEsn2GhzJuUktoK-y8ukkFjczWXIRmzNnusA=s32-rw","Bùi Đức Hải","","October 23, 2022","Please fix the horizontal edit problem. When I horizontal rotate my phone, I cannot see the button ""Add to note"" of the sticker box. I must vertical rotate my phone to insert the sticker then come back to horizontal to continue noting, which is obviously annoying","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2g1LaJrKKJYARgYV00jqzdlHFty8bqVYftQ4CV=s32-rw-mo","Jav Urrutia","","October 25, 2022","It Is the best note taking app, it would be perfect if it just had the justification text option, so it looks cleaner",""
"https://play-lh.googleusercontent.com/a/ALm5wu3qHd83aT3yYeloCPkwW1GUy1QuBbfruVEQlsXi=s32-rw-mo","Alain Aziz","","November 16, 2022","The best note taking app on the Play Store. The developper is very responsive in case of any issues.",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","November 4, 2022","Bought the VIP version so I could use the open double notes feature but now I can't import pdf's. So it's kinda useless to me now",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8ypmfsi8AwAElcknEVyrBE4nEVog-ykR_BGmNaajA=s32-rw","Emm Kay","","July 24, 2022","Apparently my free trial period is over so now I can't change the font (it's stuck on the last font I used which was not the primary body font I was using). Other basic features are also locked including adding stickers. I wasn't aware there was a free trial period and can't find mention of it","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_PpeNQg_qK5yidV0iu2LxaHMEkwgMjignYjwXiW1k=s32-rw","B1 Nabila Irany","Show review history","August 14, 2022","for me it has some best features and neat interface compared to other notes apk. the big downside for this app is the limitation app that we can sync with. it cant sync with gdrive. Other than this, its great.","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0O1sNWlj1qTjjkwbaq1I6xMTXAR1BIfgZuDiRq=s32-rw-mo","Amelie","","September 9, 2022","I really like this app,But I haven't been able to log in for a few days. I bought the VIP version and everything worked very well until yesterday. I hope you can fix this problem.",""
