"
  TickTick:To-do list & Tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a/ALm5wu0nnqfg0mCXlADeUZQ-jJwnxixQNkzZFFUyUGlv=s32-rw-mo","Pushya Singh","","November 8, 2021","Great app, easy to use as well. Working with it in the background is not bothering either. It has a great Pomodoro timer as well. The reminders do seek a lot of attention, and one can't go to another app while the reminders are coming up. Other than that I would recommend it to everyone trying to work with a complicated or large schedule. No bothering adds or app begging for premium either, which is great!","71 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-4ih3BrC1iM2N_3XX89L1ymoDw5T0sys6eyrPXwg=s32-rw","Clare Branson","","November 10, 2022","Really fantastic tool. I use it daily. Very good for visual thinkers - dragging tasks onto the calendar view is fantastic. The only star dropped is due to some calendar syncing issues, which seem to have been resolved, although some events can take a few hours to leave the TickTick calendar after deletion in Outlook, for example. Thank you for a great productivity tool.","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9x0JbfSVtix08BWfqqwAXxkL-dUSfqiTO81sEZ2A=s32-rw","Russell Unruh","","November 1, 2022","The app is awesome!! Has a glitch though, and support is not very great. I've tried emailing them and also tried through the app and sometimes will not get any response. I currently have two support tickets open and I'm hanging. So only 4 stars. They just quit communicating. This is a very advanced scheduling app with lots of features.","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_lpP0QMgajno1etjRV4vw2F1Y_8gFODtQLuSYyig=s32-rw","Laura Peters","","November 18, 2022","Used to be great, but so many features are locked behind a paywall it's no longer worth it. I don't mind paying a one-off fee for an app, but a subscription of $30 a year to maintain a to-do list app is highway robbery. I can't even see a calendar view without paying. Not to mention it can be fiddly as hell, and I'm a UX designer... I'm uninstalling.","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-jNHiHGdk3_ylla7IqRYeyXCuu6l3e7tvW1hZe=s32-rw","Fatihah Prima Ully","","November 5, 2022","After looking and buying unused subscriptions for Todo apps, I settled on this app. 100% usable without the subscription. Without subscription, you can sync reliably across multiple platforms (as someone that uses apple, windows and android, this is a big 👍) and even use features like pomodoro and habits tracker. It is wonderful. But still, I gladly bought the subscription for the 10+ lists. Thank you mkbhd for the rec.","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8TCkv1j1rGECqB58WyaMzaVG2m2CRmoZ3P700fZQ=s32-rw","Brian Glaze","Show review history","November 15, 2022","TickTick is the best todo list app I've ever used. It makes you want to use it. The simple functionality such as being able to hold the add a task button to verbally make your task is convenient and easy. Also, your reminders are not easily dismissed which forces you to actually address the task.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-E7iohqNWdufZPEPbWxClQV9ho5UTLR7aQAnWGDvg=s32-rw","Anthony Chui","Show review history","November 1, 2022","Have been happy about this app until a few months ago. The app no longer sync automatically. Every sync must be manual. And even that the sync doesn't always work. This is a huge problem if you use desktop and Phone back and forth. The sync used to be robust and seamless. Now it is half broken.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu--oV4ATjJvVHpmrMuUatM7HDK4uJJd4RQagAPr=s32-rw","Haekal Al Ghifary","","November 14, 2022","I have never got out of my way to write these reviews before but i'm writting one because this app is AMAZING. I'm using the free version and still the amount of quality features are incredible. The whole app screams minimalistic and easy to use. The pomodoro functionality alone deserves a 5 star. It doesnt have unncessary features, you just tell how long you're focusing, at what task and it records and show your progress. For me it's PERFECT. I'd like to write more, but the cap is 500 words 👍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8W7hcrMrGxk06YP0ADlBRnR7gVU2-kEVAX3kDmoA=s32-rw","Ben Traverse","","November 18, 2022","as a self employed person, it can be tough to separate work life from personal. this app makes that a lil easier with dedicated work and personal lists. I can also use it as a little project manager with a separate to do list. the ability to add deadlines is so great too. plus being able to collaborate on lists is amazing!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_xdfMqXCecmcYRbNB8Ecb-HKeEqQiSPgzhV3rdVw=s32-rw","Idjagiedas2","Show review history","October 15, 2022","I really like the design and would even pay for premium. But what makes it unusable for me is that you cannot sort the Completed Items in lists. So, if you want to buy some item again, you need to search and scroll down the entire list of Completed Items to find it. This is really bothering. Alphabetically would be much faster and make more sense.","5 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu99lm9bl5TF6haIaZaqVtfpmkhr7PwMnUu9WjdccIk=s32-rw","Mel","Show review history","September 8, 2022","I live with ADHD and have always struggled with prioritization and scheduling. I have tried so many other apps for calendars, to do lists, reminders, pomodoro timers, and habit tracking. TickTick blows everything out of the water, with a beautiful interface and the perfect amount of customization. The more I use it the more features I find that I love. This app has transformed my ability to manage time effectively and build better habits.","51 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu09IBQE34K6OZLYp4EqxYLKFZB3Lmr2S39BYTz9=s32-rw-mo","Febriana Farley","","September 30, 2022","Love this app! Even the free version is amazing! It helps me organize both my personal and work life as a business owner. I've gone through many different apps and software and TickTick is definitely the best fit for me. Very easy to use. the mobile and desktop versions sync seamlessly - this is not usually the case with other apps. Considering subscribing soon because it's worth it!","16 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_BwEFHGftjNEFoAmak7eBdfPxrNDB-JAP4Zoei8g=s32-rw","Ed Macke","","October 4, 2022","This is a very good reminder app. Reminders entered on mobile or web site sync perfectly. The only thing missing is a Due-like (Apple only) ability to issue annoying notifications. With TickTick, you get one notification. If you're not near your phone, you won't know you've missed a task until next time you pick up your phone. It'd be great if TickTick would issue a *new* notification every X minutes (user-controlled) until you acknowledge, so that you never miss a notification.","14 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8M7OSeaeqC7OWPz9hvakniBUbrWh5-wgpoPvnf=s32-rw","Nicole Normand","","October 2, 2022","I downloaded this a few years back to replace Wunderlist and didn't use it much until I fell on some YT videos by accident and finally watched them all in 2 days because I got so excited 😆. Now it's on my start menu on my PC and I use it all the time. My last two big projects are finally on it and it couldn't be better. Something as simple as menus or reading books for a challenge.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Y1Qx1f-VCDh_BvFu-x_vOgr49wLr0MO6nmwsoyf8=s32-rw","Jesse Kleine","","September 23, 2022","Just started using TickTick, after having tried several different kinds of reminder/tasks apps. So far, I have little to no complaints about my experience. Interface is great and user friendly, and every other day it seems like there's a new feature that I didn't know about, and actually come to love. Also having to live with ADHD, this app has more than helped me so far and couldn't recommend it enough","16 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_knozpxLPzRGdHuToqnhoGG6HknZDxzcKqLzDitKA=s32-rw","Jonathan Melton","","September 9, 2022","Best task and calendar app I've ever used! I have searched for years to find an app that does both tasks in depth while allowing you to put those tasks into a Google calendar. I hate making a long lists of tasks with dates and then having to spend double the amount of time putting them into my calendar and then triple the amount of time taking them both out of my calendar and task app when they are completed. This app wraps it all up into one simple system that I absolutely adore!","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_0CGsmjOzfo9vRA8K9QN0oqOZdAeOAz10gNJeZ=s32-rw","Lisa T","","September 25, 2022","This is the best, cleanest, robust task manager I've tried to date (after trying MANY apps over the past year, including Trello, Asana, ToDoist, and Microsoft ToDo). I love that it syncs instantly across all my devices (iPhone, Android tablet, Windows PC, and the web version). It's most useful feature in my opinion is the ability to drag tasks from the side panel list directly onto time slots within Calendar View. Thank you for this app. I can't function without it!","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2xpj8BdqU2zIQ_YwQlEJx4lOhzj32uQxAO-qQg=s32-rw-mo","Sarfo Ashong","","October 29, 2022","It's awesome. I know to-do lists and productivity apps are merely tools, but this one... this one makes me want to work! My only gripe -- and this is me nitpicking -- is that they dont let you some really essential stuff like setting a start and end time for your tasks unless you pay for premium, although I have to admit the asking price to upgrade to premium is also pretty affordable... Download it. Pay for premium and all. You'll be glad you did.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8lh_IP8vzoHJv_pBzDR9SDfSSAWlcqSk4nsKAWBQ=s32-rw","Killer Truffle","","October 23, 2022","Missing some basic features, but overall good. Biggest flaw is lack of sorting or management of checked off items. When you mark eggs off your shopping list, you have to hunt through the checked items to find out again later, when an alphabetized list would make it so efficient. Our you just add eggs again to the point you eventually have eggs in the completed list 7 times. That problem alone is serious enough for me to drop 2 stars off. Fix that and I'd rate it a 5.","10 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_sq9fjcLvjkBu3R5JgX5YJ_GVKPiDzMRRMCbPR2g=s32-rw","Ray Otwell","","November 7, 2022","A little awkward at first, but now a real gem. At first I had a bit of trouble moving around to exactly where I wanted to be, but their web help got me straightened out pretty quickly. If you need a lot of help to organize your life, this might be what you're looking for. I am ADHD and need assistance keeping all my tasks, big and small all in line. This has extensive to-do list, reminders, a pomo timer and even a way to nudge you into building good habits. It's worth a subscription.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Nw9Kn_RxK8QP5J-VCsaZKyM-hbyrWRSb1Kato=s32-rw","Pablo Herrera Salazar","","September 19, 2022","I love it, everything is great even in the free version of the app, which is rare to see these days, a true complete app. I have one single complaint though, I wished the widgets would match the theme on the phone, maybe nitpicky and doesn't affect any functionality but would love it if it was implemented. That would make it a true 5 star app.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8EeitON_QSCfNuq3bWXR-wKUdQCHJ88GQcPmjpGUU=s32-rw","Carrie Virgilio","Show review history","November 14, 2022","I have used so many organizing apps and this one is head and shoulders above the rest. With other apps whenever they make an update you're groaning hoping nothing breaks and this app it's always an improvement you didn't even think about. I have made multiple suggestions and 90% of the time they are actually implemented within a few months. It literally has everything you need without being overwhelming.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_3vnR-jUu9W5pkoT7sUrjmPdCmfgqz2sn7u5oQ_0A=s32-rw","Albertoms","","September 13, 2022","I LOVE THIS! I use Notion for databases, Asana and ClickUp for work, toggle to track time, and some more, but everything circles around ticktick. I've been applying the second brain philosophy for a year, and always come back to this app because it is so complete! Task, templates, tags, smart dates, notes, calendar, spaces, habits, awesome notification personalization, priorities, and it looks exactly the same in android, apple, and chrome. It does not feels overwhelming. For real, I love it!❤️","10 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8o0FFNJ9oktihb6i9s_0gfJpLLCDud5uw-ciunCQ=s32-rw","Balbalao","","October 24, 2022","Ive tried many of ""list of the best task managers"" but none of them lists TickTick. I was almost hopeless when i found it . This app serves my purposes the best way - it is not crowded with functions, easy to make quick note and later edit it, convinient tasks tree. The most important for me and other applications dont have - ability to add task with no date. Also free period is long enough to understand if i like it. Thank you and long live.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_D6XUwlKGljBdP8BTGQDBkNYL8LDJDCYZuDg2pPA=s32-rw","Bich Phuong Pham","","September 30, 2022","I'm using the app on a daily basis and even have a premium. I would say it has more to offer than Todoist. But first, I'm missing a widget that would show an overview of a month. And secondly, a reason why I am rating this app with just one star are the constant crashes. It crashes at least two times a day for me, usually when I am trying to create a task which is super annoying. It just ruins the whole experience for me. I keep waiting for an update or at least get into the beta program.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0bZs8QjGkyAFo_xCuHWq8iSPAyei0UypDE4AS_=s32-rw-mo","Solomiya Bolyukh","","November 16, 2022","I love Tick Tick!!! It is the only thing that is keeping my life sane and organized. It's my second brain. It beautifully integrates my Google calendar and Google drive. I can't be happier with this product. There are some minor glitches here and there but overall it's the best program/service of it's kind I've seen.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1TicKBvhGWJLPY47wDDPtpn4pzr2nVjOQo-GV3=s32-rw-mo","Mallory K","Show review history","November 5, 2022","This app really is a life saver. It can do so much more than you think it can! I use it as a To Do list (and other lists like bookmarks etc), I use it as a home management tool to remind me of all my home & life tasks like pet care, chores, bill pay reminders, & a ton more (using reoccurring tasks) I use it as a CRM even to manage when I need to keep in touch with specific friends/family (reoccurring tasks)! Project management, ETC. Best productivity tool I have ever used. & 100% worth premium!","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_OoS7gbBEPyym7pMED_bU4WUR_m6DqOvSejp_ZGfI=s32-rw","Chris","Show review history","October 22, 2022","Amazing. Great interface. This app can do anything you would need for simple or power users. It is great for a simple to do list personally and complex situations for work. The free version alone is very comprehensive. Hasn't had a bug in a long time. Been using it for years.","12 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1ascXFwgo8IoR6Tl0sKWovSqe0YT0vkgsseUWg=s32-rw-mo","Theresa Langdon","Show review history","October 18, 2022","I have used Ticktick for years and have loved it, but recently have been running into issues where in my recurring tasks do not show up from week to week or month to month. I also keep getting prompted to upgrade to a premium membership when I already have a premium membership. It is impossible to contact anyone at TickTick for help with these issues. This task app is supposed to make my life simpler but now it is making it more complicated.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3irh9ZE4bh_kDokDlsxR89Sgp98qDOmX7HlFXW=s32-rw-mo","John M","","October 21, 2022","Love it, just wish you could have more lists for free. I'd love to support the app but it's hard to justify yet another subscription for something other apps offer for free, like Microsoft to do. I'd definitely do a one time purchase to help support if I could get more lists and use just as a task list.",""
